60,48,25,15,10,10,10,13,9,11,9,10,13,12,13,16,9,9,9,8,9,8,11,10,9,9,8,8,8,9,8,10,9,11,13,12,12,13,13,12,13,9,8,9,8,9,9,9,8,9
34,34,37,30,34,31,33,31,32,32,40,39,37,39,46,51,30,35,32,35,32,37,33,26,24,32,30,27,32,36,32,31,30,26,32,30,24,31,19,30,41,41,30,41,31,40,40,42,42,43
73,57,61,60,44,66,60,58,60,63,63,59,66,62,75,59,41,59,42,56,59,61,57,60,60,57,58,55,60,70,71,71,69,72,76,74,64,57,61,58,58,56,58,59,61,57,59,57,42,58
90,94,89,87,89,86,88,90,91,86,87,85,91,92,95,91,87,88,89,95,111,107,108,109,111,108,105,130,90,88,88,91,92,67,94,85,91,91,87,88,93,91,84,90,93,91,92,66,92,103
123,124,125,127,123,127,127,129,135,170,129,133,124,123,146,127,128,126,123,119,133,122,130,125,125,129,127,148,128,124,124,125,126,127,128,126,130,124,125,127,134,126,128,127,133,133,131,122,128,124
163,170,157,167,167,163,163,160,171,173,175,158,168,171,192,175,179,161,171,201,169,166,167,178,168,171,166,192,169,173,174,170,162,171,171,370,176,167,168,171,171,170,201,171,169,169,173,178,166,165
214,238,223,213,216,213,216,211,209,218,214,210,207,218,214,219,226,217,216,218,218,219,212,207,310,282,284,313,217,210,213,222,217,221,203,219,236,240,213,212,211,217,213,207,216,214,216,235,262,192
265,261,266,256,264,256,253,268,275,263,257,267,266,268,268,278,271,262,282,419,258,267,276,262,262,267,269,280,278,259,351,342,266,268,261,266,265,274,266,323,272,324,301,321,284,315,288,280,302,283
351,340,313,317,345,341,316,350,321,335,291,338,323,335,311,314,331,460,315,315,421,501,341,378,319,336,305,549,400,306,317,323,326,315,304,324,432,311,322,307,322,308,317,460,322,398,366,358,325,341
409,420,449,384,375,387,392,378,416,371,351,368,382,378,375,400,380,402,372,391,387,390,396,393,418,402,431,424,442,393,399,454,374,378,379,389,402,373,363,370,383,379,378,386,370,413,381,398,372,386
430,454,386,440,419,425,468,447,407,435,425,432,438,441,418,454,435,453,471,455,429,436,675,423,439,438,423,583,484,419,467,445,442,448,442,441,441,439,434,425,432,438,456,447,401,432,440,427,444,454
550,481,501,493,496,587,500,553,530,532,583,509,510,504,523,517,513,609,509,531,522,525,613,499,514,498,509,505,546,505,592,507,498,502,515,558,492,517,498,483,516,508,491,506,531,429,495,492,498,535
527,724,559,569,642,580,592,593,648,576,580,577,678,570,577,575,568,503,521,516,508,478,520,499,512,462,520,522,514,565,515,527,533,629,529,544,512,530,542,538,531,534,538,543,523,530,564,551,555,555
601,622,611,603,648,613,585,504,605,584,578,602,623,591,622,626,637,583,603,734,613,638,586,613,636,634,605,603,919,611,582,582,721,864,595,614,589,608,592,601,640,707,518,572,626,605,587,587,604,580
684,673,588,674,681,557,679,691,552,706,672,557,674,648,690,684,650,682,731,687,673,676,686,648,685,679,566,715,685,579,684,680,624,724,688,608,703,673,637,721,836,617,705,884,578,737,672,701,742,715
841,780,755,657,737,743,768,747,951,811,761,668,1014,813,734,742,877,810,731,674,767,766,813,780,757,782,794,766,964,995,857,895,678,766,760,811,1093,735,900,811,773,764,787,826,775,754,848,808,760,755
863,861,731,876,906,1058,1036,832,798,808,831,716,1012,670,946,989,869,978,972,872,840,1027,739,801,693,832,825,812,915,953,843,819,844,839,800,1077,863,755,829,684,858,773,860,961,832,865,888,858,846,851
